szID,FOV_dim,EEG_On,DC_On,EEG_bias,PIS_On,Sz_On,TSW_On,PostStim_On,split_On,split_time,split_sel,file_path
S56ptz1,400,0,0,0,0,1,1,0,0,0,0,s56_210831_ptz1
S60ptz1,310,1,0,0,1,1,1,0,0,0,0,s60_210915_ptz1
S60ptz2,310,1,0,0,1,1,1,0,0,0,0,s60_211008_ptz2
S86ptz1,450,1,0,0.5,1,0,0,0,0,0,0,s86_221024_2_ptz1
S86ptz2,450,1,1,0,1,1,0,0,0,0,0,s86_221103_ptz2
S86ptz3,450,1,1,0,1,1,0,0,0,0,0,s86_221111_ptz3
S86ptz4,450,1,1,0,1,1,0,1,0,0,0,s86_221118_ptz4
S86ptz5,450,1,1,0,1,1,0,1,0,0,0,s86_221222_ptz5
S86ptz6,450,1,1,0,0,1,1,0,0,0,0,s86_230104_ptz6
S86stim1,450,0,1,0,0,0,0,0,0,0,0,s86_221024_1_stim1
S87ptz1,450,1,1,0.5,1,0,0,0,0,0,0,s87_221010_ptz1
S87ptz2,450,1,0,0.5,1,0,0,0,0,0,0,s87_221014_ptz2
S87ptz3,450,1,1,0.5,1,0,0,0,0,0,0,s87_221019_ptz3
S87ptz4,450,1,1,0,1,1,0,0,0,0,0,s87_221026_ptz4
S87ptz5,450,1,1,0,1,1,0,0,0,0,0,s87_221102_ptz5
S87ptz6,450,1,1,0.5,1,0,0,0,0,0,0,s87_221110_ptz6
S87ptz7,450,1,1,0,1,1,0,0,0,0,0,s87_221117_ptz7
S87ptz8,450,1,1,0,1,1,1,0,0,0,0,s87_221219_ptz8
S87stim1,450,0,1,0,0,0,0,0,0,0,0,s87_221005_stim1
S88stim1,450,1,0,0,0,0,0,0,0,0,0,s88_221013_stim1
S89ptz1,450,1,1,0,1,0,0,0,0,0,0,s89_221027_2_ptz1
S89ptz2,450,1,1,0,1,1,0,0,0,0,0,s89_221101_ptz2
S89ptz3,450,1,1,0,1,1,1,0,0,0,0,s89_221109_ptz3
S89stim1,450,0,1,0,0,0,0,0,0,0,0,s89_221027_1_stim1
S102ptz1,450,1,1,0.5,1,0,0,0,0,0,0,s102_230522_ptz1
S102ptz2,450,1,1,0,1,1,0,0,1,616,1,s102_230530_ptz2
S102ptz3,450,1,1,0,1,1,1,0,1,616,2,s102_230530_ptz2
S102stim1,450,1,1,0,0,0,0,0,0,0,0,s102_230605_stim1
S102cicr1,450,1,1,0,0,0,0,0,0,0,0,s102_230628_cicr1
S103ptz1,450,1,1,0,1,1,1,0,0,0,0,s103_230531_ptz1
S103stim1,450,1,1,0,0,0,0,0,0,0,0,s103_230607_stim1
S104ptz1,450,1,1,0,1,1,0,0,0,0,0,s104_230525_ptz1
S104ptz2,450,1,1,0,1,1,0,1,0,0,0,s104_230601_ptz2
S104ptz3,450,1,1,0,0,1,1,0,0,0,0,s104_230608_ptz3
S105ptz1,450,1,1,0,1,1,0,0,0,0,0,s105_230526_ptz1
S105ptz2,450,1,1,0,1,1,0,1,0,0,0,s105_230602_ptz2
S105ptz3,450,1,1,0,1,1,1,0,0,0,0,s105_230609_ptz3
S105stim1,450,1,1,0,0,0,0,0,0,0,0,s105_230616_stim1
S105cicr1,450,1,1,0,0,0,0,0,0,0,0,s105_230629_cicr1
