Experiment ID	Experiment
Animal ID	Animal
Researcher	Test
Directory path	


Number	Start Time	End Time	Time From Start	Channel	Annotation
0	11/09/22 16:32:30.596	11/09/22 16:32:30.596	64.9185		TTL 1: Rise
1	11/09/22 16:32:30.596	11/09/22 16:32:30.596	64.9185	EEG 1	TTL 1: Rise
2	11/09/22 16:32:30.596	11/09/22 16:32:30.596	64.9185	EEG 2	TTL 1: Rise
3	11/09/22 16:32:30.596	11/09/22 16:32:30.596	64.9185	EEG 3	TTL 1: Rise
4	11/09/22 16:32:30.596	11/09/22 16:32:30.596	64.9185	EMG	TTL 1: Rise
5	11/09/22 16:37:31.426	11/09/22 16:37:31.426	365.7486		TTL 1: Fall
6	11/09/22 16:37:31.426	11/09/22 16:37:31.426	365.7486	EEG 1	TTL 1: Fall
7	11/09/22 16:37:31.426	11/09/22 16:37:31.426	365.7486	EEG 2	TTL 1: Fall
8	11/09/22 16:37:31.426	11/09/22 16:37:31.426	365.7486	EEG 3	TTL 1: Fall
9	11/09/22 16:37:31.426	11/09/22 16:37:31.426	365.7486	EMG	TTL 1: Fall
10	11/09/22 16:40:51.162	11/09/22 16:40:51.162	565.4847		TTL 1: Rise
11	11/09/22 16:40:51.162	11/09/22 16:40:51.162	565.4847	EEG 1	TTL 1: Rise
12	11/09/22 16:40:51.162	11/09/22 16:40:51.162	565.4847	EEG 2	TTL 1: Rise
13	11/09/22 16:40:51.162	11/09/22 16:40:51.162	565.4847	EEG 3	TTL 1: Rise
14	11/09/22 16:40:51.162	11/09/22 16:40:51.162	565.4847	EMG	TTL 1: Rise
15	11/09/22 17:10:53.024	11/09/22 17:10:53.024	2367.3468		TTL 1: Fall
16	11/09/22 17:10:53.024	11/09/22 17:10:53.024	2367.3468	EEG 1	TTL 1: Fall
17	11/09/22 17:10:53.024	11/09/22 17:10:53.024	2367.3468	EEG 2	TTL 1: Fall
18	11/09/22 17:10:53.024	11/09/22 17:10:53.024	2367.3468	EEG 3	TTL 1: Fall
19	11/09/22 17:10:53.024	11/09/22 17:10:53.024	2367.3468	EMG	TTL 1: Fall
20	11/09/22 17:16:58.441	11/09/22 17:16:58.441	2732.7640	ALL	Stopped Recording
